Epochs,Overall- train,Overall- test,"Blond, male- train","Blond, female- train","Not blond, male- train","Not blond, female- train","Blond, male- test","Blond, female- test","Not blond, male- test","Not blond, female- test"
66.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7557251908396947,0.9856115107913669,0.9395973154362416
67.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9373601789709173
68.0,1.0,0.9319999999999999,1.0,1.0,1.0,1.0,0.0,0.7557251908396947,0.9856115107913669,0.9440715883668904
69.0,1.0,0.928,1.0,1.0,1.0,1.0,0.0,0.7557251908396947,0.9832134292565947,0.9373601789709173
70.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9395973154362416
71.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9373601789709173
72.0,1.0,0.929,1.0,1.0,1.0,1.0,0.0,0.7709923664122137,0.9856115107913669,0.9328859060402684
73.0,1.0,0.929,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9351230425055929
74.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9395973154362416
75.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9373601789709173
76.0,1.0,0.9319999999999999,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.941834451901566
77.0,1.0,0.9319999999999999,1.0,1.0,1.0,1.0,0.0,0.7557251908396947,0.9856115107913669,0.9440715883668904
78.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9395973154362416
79.0,1.0,0.9319999999999999,1.0,1.0,1.0,1.0,0.0,0.7786259541984732,0.9856115107913669,0.9373601789709173
80.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9373601789709173
81.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7557251908396947,0.9856115107913669,0.9395973154362416
82.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7709923664122137,0.9856115107913669,0.9373601789709173
83.0,1.0,0.9319999999999999,1.0,1.0,1.0,1.0,0.0,0.7786259541984732,0.9856115107913669,0.9373601789709173
84.0,1.0,0.929,1.0,1.0,1.0,1.0,0.0,0.7480916030534351,0.9856115107913669,0.9395973154362416
85.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7480916030534351,0.9856115107913669,0.941834451901566
86.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7709923664122137,0.9856115107913669,0.9373601789709173
87.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7557251908396947,0.9856115107913669,0.9395973154362416
88.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7709923664122137,0.9856115107913669,0.9373601789709173
89.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7709923664122137,0.9856115107913669,0.9373601789709173
90.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7557251908396947,0.9856115107913669,0.9395973154362416
91.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7709923664122137,0.9856115107913669,0.9373601789709173
92.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7480916030534351,0.9856115107913669,0.941834451901566
93.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7709923664122137,0.9856115107913669,0.9373601789709173
94.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9373601789709173
95.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9373601789709173
96.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9373601789709173
97.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7709923664122137,0.9856115107913669,0.9373601789709173
98.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9373601789709173
99.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7709923664122137,0.9856115107913669,0.9373601789709173
100.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7709923664122137,0.9856115107913669,0.9373601789709173
